"","Region","Area","palmitic","palmitoleic","stearic","oleic","linoleic","linolenic","arachidic","eicosenoic"
"1","1","North-Apulia",1075,75,226,7823,672,36,60,29
"2","1","North-Apulia",1088,73,224,7709,781,31,61,29
"3","1","North-Apulia",911,54,246,8113,549,31,63,29
"4","1","North-Apulia",966,57,240,7952,619,50,78,35
"5","1","North-Apulia",1051,67,259,7771,672,50,80,46
"6","1","North-Apulia",911,49,268,7924,678,51,70,44
"7","1","North-Apulia",922,66,264,7990,618,49,56,29
"8","1","North-Apulia",1100,61,235,7728,734,39,64,35
"9","1","North-Apulia",1082,60,239,7745,709,46,83,33
"10","1","North-Apulia",1037,55,213,7944,633,26,52,30
"11","1","North-Apulia",1051,35,219,7978,605,21,65,24
"12","1","North-Apulia",1036,59,235,7868,661,30,62,44
"13","1","North-Apulia",1074,70,214,7728,747,50,79,33
"14","1","North-Apulia",875,52,243,8018,655,41,79,32
"15","1","North-Apulia",952,49,254,7795,780,50,75,41
"16","1","North-Apulia",1155,98,201,7606,816,32,60,29
"17","1","North-Apulia",943,94,183,7840,788,42,75,31
"18","1","North-Apulia",1278,69,205,7344,957,45,70,28
"19","1","North-Apulia",961,70,195,7958,742,46,75,30
"20","1","North-Apulia",952,77,258,7820,736,43,78,33
"21","1","North-Apulia",1074,67,236,7692,716,56,83,45
"22","1","North-Apulia",995,46,288,7806,679,56,86,40
"23","1","North-Apulia",1056,53,247,7703,700,54,89,51
"24","1","North-Apulia",1065,39,234,7876,703,42,74,26
"25","1","North-Apulia",1065,45,245,7779,696,47,82,38
"26","1","Calabria",1315,139,230,7299,832,42,60,32
"27","1","Calabria",1321,136,217,7174,950,43,63,30
"28","1","Calabria",1359,115,246,7234,874,45,63,18
"29","1","Calabria",1378,111,272,7127,940,46,64,23
"30","1","Calabria",1295,109,245,7253,903,43,62,38
"31","1","Calabria",1275,121,215,7285,892,40,68,41
"32","1","Calabria",1336,120,318,7083,915,50,70,38
"33","1","Calabria",1309,122,241,7257,870,46,72,35
"34","1","Calabria",1340,114,189,7337,820,48,72,21
"35","1","Calabria",1299,116,253,7309,823,40,69,27
"36","1","Calabria",1221,107,221,7441,798,54,70,28
"37","1","Calabria",1245,72,283,7395,829,44,67,28
"38","1","Calabria",1285,129,244,7323,819,57,65,36
"39","1","Calabria",1248,107,313,7299,840,46,66,33
"40","1","Calabria",1356,106,236,7209,866,48,75,36
"41","1","Calabria",1260,102,228,7354,870,49,64,28
"42","1","Calabria",1261,121,312,7238,877,47,65,25
"43","1","Calabria",1304,124,279,7160,928,48,61,37
"44","1","Calabria",1344,117,287,7129,897,51,65,41
"45","1","Calabria",1323,96,300,7351,757,47,54,26
"46","1","Calabria",1292,117,215,7351,839,48,61,32
"47","1","Calabria",1254,118,244,7394,786,46,71,24
"48","1","Calabria",1312,131,259,7167,939,41,69,20
"49","1","Calabria",1213,109,301,7261,925,47,65,31
"50","1","Calabria",1359,98,351,7262,780,41,56,16
"51","1","Calabria",1266,97,263,7435,743,45,69,29
"52","1","Calabria",1298,99,311,7311,787,45,67,23
"53","1","Calabria",1272,116,279,7258,872,43,72,27
"54","1","Calabria",1278,87,332,7379,771,44,53,24
"55","1","Calabria",1184,112,311,7391,819,48,57,28
"56","1","Calabria",1382,110,268,7241,828,39,60,30
"57","1","Calabria",1183,146,292,7580,618,38,51,23
"58","1","Calabria",1261,153,219,7355,818,52,70,26
"59","1","Calabria",1198,136,239,7639,633,27,55,19
"60","1","Calabria",1225,134,232,7658,616,36,49,26
"61","1","Calabria",1339,166,208,7190,923,40,69,25
"62","1","Calabria",1132,157,240,7641,638,45,60,31
"63","1","Calabria",1381,183,245,7385,609,47,70,25
"64","1","Calabria",1409,128,257,7257,759,43,57,16
"65","1","Calabria",1306,127,250,7254,869,47,68,24
"66","1","Calabria",1372,120,250,7355,702,44,68,28
"67","1","Calabria",1336,113,242,7293,855,38,60,18
"68","1","Calabria",1401,151,238,7164,857,45,72,36
"69","1","Calabria",1390,119,234,7236,823,40,62,41
"70","1","Calabria",1432,152,281,7029,949,39,55,25
"71","1","Calabria",1412,124,298,7182,790,45,68,28
"72","1","Calabria",1366,147,291,7197,783,51,70,34
"73","1","Calabria",1383,118,273,7282,738,45,68,29
"74","1","Calabria",1283,102,263,7400,763,54,65,28
"75","1","Calabria",1296,136,260,7380,780,48,51,18
"76","1","Calabria",1287,108,287,7343,826,44,44,23
"77","1","Calabria",1351,159,296,7229,810,36,60,22
"78","1","Calabria",1241,97,268,7499,709,52,69,36
"79","1","Calabria",1267,101,300,7230,898,74,65,34
"80","1","Calabria",1235,138,252,7322,861,54,66,36
"81","1","Calabria",1255,103,223,7395,848,47,56,30
"82","1","South-Apulia",1454,183,196,7057,1014,27,46,19
"83","1","South-Apulia",1347,194,197,7277,895,25,46,15
"84","1","South-Apulia",1364,204,225,6929,1084,21,50,14
"85","1","South-Apulia",1410,199,216,7130,955,21,48,19
"86","1","South-Apulia",1384,178,208,7105,999,29,67,26
"87","1","South-Apulia",1412,185,217,6842,1203,34,72,32
"88","1","South-Apulia",1410,232,280,6715,1233,32,60,24
"89","1","South-Apulia",1509,209,257,6647,1240,42,62,30
"90","1","South-Apulia",1317,197,256,7036,1067,40,60,22
"91","1","South-Apulia",1286,192,203,7132,1053,38,65,28
"92","1","South-Apulia",1273,191,202,6862,1303,43,70,28
"93","1","South-Apulia",1463,183,183,6747,1307,36,60,24
"94","1","South-Apulia",1399,187,191,6861,1233,38,60,17
"95","1","South-Apulia",1413,193,208,6875,1202,30,60,18
"96","1","South-Apulia",1369,206,203,6953,1168,35,50,16
"97","1","South-Apulia",1488,172,170,6920,1144,37,54,14
"98","1","South-Apulia",1323,160,205,6911,1298,24,50,17
"99","1","South-Apulia",1311,166,170,6902,1312,41,69,28
"100","1","South-Apulia",1286,163,183,7040,1230,29,57,12
"101","1","South-Apulia",1380,173,188,7038,1139,31,44,14
"102","1","South-Apulia",1394,164,223,7086,1042,24,43,23
"103","1","South-Apulia",1324,174,198,6863,1289,36,70,21
"104","1","South-Apulia",1290,157,192,7000,1263,26,51,19
"105","1","South-Apulia",1361,163,196,6888,1273,37,58,24
"106","1","South-Apulia",1387,182,242,6913,1101,44,68,30
"107","1","South-Apulia",1369,180,181,7000,1130,39,45,24
"108","1","South-Apulia",1303,165,175,7025,1243,31,41,16
"109","1","South-Apulia",1346,160,169,7072,1151,39,48,15
"110","1","South-Apulia",1369,171,184,6937,1246,30,48,15
"111","1","South-Apulia",1305,172,169,7004,1260,28,50,11
"112","1","South-Apulia",1351,179,186,6935,1243,36,50,19
"113","1","South-Apulia",1283,151,182,7000,1271,40,52,21
"114","1","South-Apulia",1449,175,198,6883,1162,40,70,22
"115","1","South-Apulia",1310,180,183,7054,1202,26,32,12
"116","1","South-Apulia",1360,163,176,6901,1280,28,65,27
"117","1","South-Apulia",1300,187,196,6920,1253,41,76,25
"118","1","South-Apulia",1368,171,218,7010,1057,41,54,26
"119","1","South-Apulia",1207,151,156,7159,1234,27,51,14
"120","1","South-Apulia",1348,154,183,6917,1277,48,56,16
"121","1","South-Apulia",1334,186,229,7261,827,34,56,20
"122","1","South-Apulia",1301,156,207,7003,1229,41,48,14
